Filtered prefixes @ https://alice-rs.linx.net | ASN | AS-NAME | AS Rank | Source | Country | PeeringDB link
939 | 7713 | TELKOMNET-AS-AP PT Telekomunikasi Indonesia | 66 | APNIC | ID | https://www.peeringdb.com/asn/7713
354 | 9498 | BBIL-AP BHARTI Airtel Ltd. | 21 | APNIC | IN | https://www.peeringdb.com/asn/9498
339 | 60439 | SERVERNET-AS - SERVERNET INTERNET LIMITED | 8813 | RIPE | GB | https://www.peeringdb.com/asn/60439
139 | 39386 | STC-IGW-AS - Saudi Telecom Company JSC | 306 | RIPE | SA | https://www.peeringdb.com/asn/39386
132 | 6939 | HURRICANE | 6 | ARIN | US | https://www.peeringdb.com/asn/6939
102 | 36994 | Vodacom-VB | 803 | AFRINIC | ZA | https://www.peeringdb.com/asn/36994
61 | 15412 | FLAG-AS - FLAG TELECOM UK LIMITED | 38 | RIPE | GB | https://www.peeringdb.com/asn/15412
44 | 1031 | PEER1-1031 | 45 | ARIN | US | https://www.peeringdb.com/asn/1031
34 | 2018 | TENET-1 | 2955 | AFRINIC | ZA | https://www.peeringdb.com/asn/2018
32 | 8560 | IONOS-AS - IONOS SE | 2018 | RIPE | DE | https://www.peeringdb.com/asn/8560
23 | 30844 | LIQUID-AS - Liquid Telecommunications Ltd | 124 | RIPE | GB | https://www.peeringdb.com/asn/30844
17 | 49505 | SELECTEL - JSC Selectel | 2561 | RIPE | RU | https://www.peeringdb.com/asn/49505
14 | 37468 | ANGOLA-CABLES | 24 | AFRINIC | AO | https://www.peeringdb.com/asn/37468
13 | 44735 | SIP-ASN - Nova hf | 977 | RIPE | IS | https://www.peeringdb.com/asn/44735
13 | 57463 | NA | 77613 | RIPE | BG | https://www.peeringdb.com/asn/57463
12 | 9930 | TTNET-MY TIME dotCom Berhad No. 14 | 368 | APNIC | MY | https://www.peeringdb.com/asn/9930
12 | 13213 | UK2NET-AS - UK-2 Limited | 1689 | RIPE | GB | https://www.peeringdb.com/asn/13213
12 | 24482 | SGGS-AS-AP SG.GS | 82 | APNIC | SG | https://www.peeringdb.com/asn/24482
11 | 60171 | AFRIX-AS - AFR-IX TELECOM S.A. | 279 | RIPE | ES | https://www.peeringdb.com/asn/60171
