Filtered prefixes @ https://lg.ix.br | ASN | NAME | Contacts | PeeringDB link
26512 | 6939 | HURRICANE | abuse@he.net,hostmaster@he.net | https://www.peeringdb.com/asn/6939
5090 | 16735 | ALGAR TELECOM S/A |  | https://www.peeringdb.com/asn/16735
4438 | 61568 | ALOO TELECOM - FSF TECNOLOGIA SA |  | https://www.peeringdb.com/asn/61568
3005 | 52320 | GlobeNet Cabos Submarinos Colombia, S.A.S. | lucas.franca@globenet.net,igor.magalhaes@globenet.net | https://www.peeringdb.com/asn/52320
2219 | 57463 | NetIX | abuse@netix.net,nmt@netix.net | https://www.peeringdb.com/asn/57463
2099 | 53013 | W I X NET DO BRASIL LTDA - ME |  | https://www.peeringdb.com/asn/53013
1948 | 26615 | TIM S/A |  | https://www.peeringdb.com/asn/26615
1358 | 28329 | G8 NETWORKS LTDA |  | https://www.peeringdb.com/asn/28329
1239 | 14840 | BR Digital |  | https://www.peeringdb.com/asn/14840
1047 | 61832 | Fortel Fortaleza Telecomunicacoes Ltda |  | https://www.peeringdb.com/asn/61832
997 | 262589 | INTERNEXA BRASIL OPERADORA DE TELECOMUNICACOES S.A |  | https://www.peeringdb.com/asn/262589
915 | 267613 | ELETRONET S.A. |  | https://www.peeringdb.com/asn/267613
810 | 53062 | GGNET TELECOM BACKBONE |  | https://www.peeringdb.com/asn/53062
759 | 1031 | PEER-1-INTERNET | contact@peer-1.com | https://www.peeringdb.com/asn/1031
594 | 28573 | CLARO S.A. |  | https://www.peeringdb.com/asn/28573
563 | 7195 | EDGEUNO SAS | mehmet@edgeuno.com,tiago.setti@edgeuno.com | https://www.peeringdb.com/asn/7195
386 | 28598 | Mob Servicos de Telecomunicacoes Ltda |  | https://www.peeringdb.com/asn/28598
305 | 52739 | PROVEDOR INTERSOUSA LTDA |  | https://www.peeringdb.com/asn/52739
290 | 37468 | None |  | https://www.peeringdb.com/asn/37468
214 | 271253 | LINK BRASIL TELECOMUNICACOES LTDA |  | https://www.peeringdb.com/asn/271253
204 | 264288 | GNET PROVEDOR |  | https://www.peeringdb.com/asn/264288
192 | 10310 | YAHOO-1 | rir-noc@yahooinc.com,network-abuse@cc.yahoo-inc.com,rir-tech@oath.com | https://www.peeringdb.com/asn/10310
188 | 28624 | PROVEDORA CMA INTERNET LTDA |  | https://www.peeringdb.com/asn/28624
185 | 61595 | TELIC TECHNOLOGIES |  | https://www.peeringdb.com/asn/61595
183 | 52554 | S. A. da Silva Junior |  | https://www.peeringdb.com/asn/52554
164 | 264247 | Maila Networks |  | https://www.peeringdb.com/asn/264247
161 | 22356 | Durand do Brasil Ltda |  | https://www.peeringdb.com/asn/22356
156 | 266445 | SEA TELECOM LTDA |  | https://www.peeringdb.com/asn/266445
152 | 262761 | Sinal Br Telecom Ltda |  | https://www.peeringdb.com/asn/262761
146 | 262773 | PROXXIMA TELECOMUNICACOES LTDA |  | https://www.peeringdb.com/asn/262773
142 | 265377 | FLASH NET TELECOMUNICACOES LTDA - ME |  | https://www.peeringdb.com/asn/265377
136 | 266925 | UPIX NETWORKS |  | https://www.peeringdb.com/asn/266925
135 | 53087 | TELY Ltda. |  | https://www.peeringdb.com/asn/53087
132 | 1916 | AssociaiÂ¿Â½iÂ¿Â½o Rede Nacional de Ensino e Pesquisa |  | https://www.peeringdb.com/asn/1916
130 | 21574 | Century Telecom Ltda |  | https://www.peeringdb.com/asn/21574
114 | 266233 | SPEED NET INFORMATICA LTDA-ME |  | https://www.peeringdb.com/asn/266233
109 | 15830 | Equinix | smc_emea@equinix.com,ripe@eu.equinix.com | https://www.peeringdb.com/asn/15830
108 | 23106 | AMERICAN TOWER DO BRASIL-COMUNICAiÂ¿Â½iÂ¿Â½O MULTIMiÂ¿Â½DIA LT |  | https://www.peeringdb.com/asn/23106
108 | 263083 | FUNDACAO PARQUE TECNOLOGICO ITAIPU - BRASIL |  | https://www.peeringdb.com/asn/263083
105 | 269096 | NORTH TELECOMUNICACOES EIRELI |  | https://www.peeringdb.com/asn/269096
102 | 28368 | SOBRALNET SERVICOS E TELECOMUNICACOES LTDA - ME |  | https://www.peeringdb.com/asn/28368
98 | 7162 | Universo Online S.A. |  | https://www.peeringdb.com/asn/7162
94 | 262503 | WIKI TELECOMUNICACOES EIRELI |  | https://www.peeringdb.com/asn/262503
93 | 28220 | CABO SERVICOS DE TELECOMUNICACOES LTDA |  | https://www.peeringdb.com/asn/28220
92 | 52873 | SOFTDADOS CONECTIVIDADE |  | https://www.peeringdb.com/asn/52873
91 | 263903 | INFORBARRA TELECOM |  | https://www.peeringdb.com/asn/263903
90 | 52551 | SAMM Sociedade de Atividades em Multimidia LTDA |  | https://www.peeringdb.com/asn/52551
86 | 265348 | INTERVIXTELECOM EIRELI ME |  | https://www.peeringdb.com/asn/265348
82 | 269194 | STAR1 INTERNET |  | https://www.peeringdb.com/asn/269194
81 | 1828 | UNITAS | abuse@unitasglobal.com,support@unitasglobal.com | https://www.peeringdb.com/asn/1828
77 | 28258 | Vero Internet |  | https://www.peeringdb.com/asn/28258
77 | 269553 | REDE ONLINE INTERNET LTDA |  | https://www.peeringdb.com/asn/269553
76 | 52720 | WEBFOCO TELECOMUNICACOES LTDA |  | https://www.peeringdb.com/asn/52720
76 | 263237 | PowerHost Telecom SPA | ricardo@powerhost.cl | https://www.peeringdb.com/asn/263237
75 | 19551 | INCAPSULA | knack.black@imperva.com,benedict.loh@imperva.com,nelson.caseiro@imperva.com,neteng@imperva.com,francis.arigo@imperva.com,aaron.klink@imperva.com,carl.tewksbury@imperva.com,nitzan.gilkis@imperva.com,rir@imperva.com,lakshmi.chitturi@imperva.com,yanay.liroz@imperva.com,ip@incapsula.com,lee.wooderson@imperva.com,abuse@incapsula.com | https://www.peeringdb.com/asn/19551
72 | 61599 | EAI TELECOMUNICACOES LTDA |  | https://www.peeringdb.com/asn/61599
68 | 41095 | IPTP | abuse320958@iptp.net,nl@iptp.net,ncc@iptp.net | https://www.peeringdb.com/asn/41095
