Filtered prefixes @ https://lg.ams-ix.net | ASN | AS-NAME | AS Rank | Source | Country | PeeringDB link
1634 | 7713 | telkomnet-as-ap | 69 | APNIC | ID | https://www.peeringdb.com/asn/7713
203 | 134548 | DXTL-HK | 2833 | APNIC | HK | https://www.peeringdb.com/asn/134548
144 | 24429 | Taobao | 2666 | APNIC | US | https://www.peeringdb.com/asn/24429
28 | 18229 | CTRLS-AS-IN | 294 | APNIC | IN | https://www.peeringdb.com/asn/18229
8 | 6939 | HURRICANE | 6 | ARIN | US | https://www.peeringdb.com/asn/6939
8 | 199524 | GCORE | 345 | RIPE | LU | https://www.peeringdb.com/asn/199524
8 | 9583 | SIFY-AS-IN | 97 | APNIC | IN | https://www.peeringdb.com/asn/9583
7 | 58779 | I4HKLIMITED-AS | 2190 | APNIC | HK | https://www.peeringdb.com/asn/58779
4 | 9304 | HUTCHISON-AS-AP | 86 | APNIC | HK | https://www.peeringdb.com/asn/9304
4 | 136334 | VNPL-AS | 694 | APNIC | IN | https://www.peeringdb.com/asn/136334
2 | 7552 | VIETEL-AS-AP | 219 | APNIC | VN | https://www.peeringdb.com/asn/7552
2 | 64567 | Private ASN | NA | NA | NL | https://www.peeringdb.com/asn/64567
2 | 36351 | SOFTLAYER | 1921 | ARIN | US | https://www.peeringdb.com/asn/36351
2 | 55352 | MCPL-IN | 677 | APNIC | IN | https://www.peeringdb.com/asn/55352
2 | 132770 | GAZON-AS-IN | 467 | APNIC | IN | https://www.peeringdb.com/asn/132770
