Filtered prefixes @ https://lg.ix.br | ASN | AS-NAME | AS Rank | Source | Country | PeeringDB link
20644 | 6939 | HURRICANE | 6 | ARIN | US | https://www.peeringdb.com/asn/6939
7719 | 16735 | ALGAR TELECOM SA | 26 | LACNIC | BR | https://www.peeringdb.com/asn/16735
2608 | 14840 | BR.Digital Provider | 57 | LACNIC | BR | https://www.peeringdb.com/asn/14840
1607 | 52320 | GlobeNet Cabos Submarinos Colombia | 29 | LACNIC | CO | https://www.peeringdb.com/asn/52320
1435 | 53062 | ALT|GGNET TELECOM BACKBONE | 74 | LACNIC | BR | https://www.peeringdb.com/asn/53062
1413 | 271253 | LINK BRASIL TELECOMUNICACOES LTDA | 147 | LACNIC | BR | https://www.peeringdb.com/asn/271253
1260 | 1031 | PEER1-1031 | 45 | ARIN | US | https://www.peeringdb.com/asn/1031
1117 | 37468 | ANGOLA-CABLES | 24 | AFRINIC | AO | https://www.peeringdb.com/asn/37468
1074 | 13786 | SEABORN | 18 | ARIN | US | https://www.peeringdb.com/asn/13786
1058 | 7195 | EDGEUNO S.A.S | 22 | LACNIC | CO | https://www.peeringdb.com/asn/7195
916 | 61832 | DB3 SERVICOS DE TELECOMUNICACOES S.A | 68 | LACNIC | BR | https://www.peeringdb.com/asn/61832
890 | 61568 | ALOO TELECOM - FSF TECNOLOGIA SA | 72 | LACNIC | BR | https://www.peeringdb.com/asn/61568
850 | 267613 | ELETRONET S.A. | 85 | LACNIC | BR | https://www.peeringdb.com/asn/267613
830 | 14868 | Ligga Telecomunicacoes S.A. | 669 | LACNIC | BR | https://www.peeringdb.com/asn/14868
706 | 262589 | SAMM TECNOLOGIA E TELECOMUNICACOES S.A | 83 | LACNIC | BR | https://www.peeringdb.com/asn/262589
666 | 52468 | UFINET PANAMA S.A. | 39 | LACNIC | PA | https://www.peeringdb.com/asn/52468
627 | 28598 | DB3 SERVICOS DE TELECOMUNICACOES S.A | 201 | LACNIC | BR | https://www.peeringdb.com/asn/28598
595 | 263009 | FORTE TELECOM LTDA. | 184 | LACNIC | BR | https://www.peeringdb.com/asn/263009
592 | 28330 | -Reserved AS- | 8649 |  |  | https://www.peeringdb.com/asn/28330
472 | 269194 | ST1 INTERNET | 271 | LACNIC | BR | https://www.peeringdb.com/asn/269194
426 | 28573 | Claro NXT Telecomunicacoes Ltda | 12328 | LACNIC | BR | https://www.peeringdb.com/asn/28573
421 | 35280 | F5 - F5 Networks SARL | 181 | RIPE | FR | https://www.peeringdb.com/asn/35280
420 | 21574 | Century Telecom Ltda | 320 | LACNIC | BR | https://www.peeringdb.com/asn/21574
374 | 9498 | BBIL-AP BHARTI Airtel Ltd. | 21 | APNIC | IN | https://www.peeringdb.com/asn/9498
374 | 264409 | GRUPO YAX | 79 | LACNIC | BR | https://www.peeringdb.com/asn/264409
343 | 53427 | TGLOBAL-NETWORKS | 323 | ARIN | US | https://www.peeringdb.com/asn/53427
320 | 28326 | Total Telecom Ltda | 2522 | LACNIC | BR | https://www.peeringdb.com/asn/28326
302 | 266445 | SEA TELECOM LTDA | 751 | LACNIC | BR | https://www.peeringdb.com/asn/266445
302 | 53013 | W I X NET DO BRASIL LTDA - ME | 424 | LACNIC | BR | https://www.peeringdb.com/asn/53013
264 | 263966 | WORLD WIFI TELECOMUNICACOES LTDA - ME | 542 | LACNIC | BR | https://www.peeringdb.com/asn/263966
260 | 262355 | VSX Networks | 278 | LACNIC | BR | https://www.peeringdb.com/asn/262355
252 | 15830 | EQUINIX - Equinix (EMEA) Acquisition Enterprises B.V. | 61 | RIPE | NL | https://www.peeringdb.com/asn/15830
250 | 262740 | VELOO NET LTDA | 549 | LACNIC | BR | https://www.peeringdb.com/asn/262740
243 | 262847 | DBUG TELECOM LTDA | 586 | LACNIC | BR | https://www.peeringdb.com/asn/262847
228 | 265377 | FLASH NET TELECOMUNICACOES LTDA - ME | 697 | LACNIC | BR | https://www.peeringdb.com/asn/265377
204 | 272273 | SFR Solucoes em Tecnologia da Informacao Ltda | 78320 | LACNIC | BR | https://www.peeringdb.com/asn/272273
196 | 52965 | 1TELECOM SERVICOS DE TECNOLOGIA EM INTERNET LTDA | 153 | LACNIC | BR | https://www.peeringdb.com/asn/52965
170 | 32787 | PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK | 86 | ARIN | US | https://www.peeringdb.com/asn/32787
169 | 53087 | TELY Ltda. | 195 | LACNIC | BR | https://www.peeringdb.com/asn/53087
168 | 53065 | Opcao Telecom | 570 | LACNIC | BR | https://www.peeringdb.com/asn/53065
166 | 262374 | FAZZY INTERNET | 6529 | LACNIC | BR | https://www.peeringdb.com/asn/262374
162 | 28329 | Megatelecom Telecomunicacoes Ltda | 146 | LACNIC | BR | https://www.peeringdb.com/asn/28329
161 | 262713 | LIDERI TELECOM | 6663 | LACNIC | BR | https://www.peeringdb.com/asn/262713
157 | 262476 | PROVEDOR BRCENTRAL.NET LTDA | 554 | LACNIC | BR | https://www.peeringdb.com/asn/262476
156 | 269096 | NORTH TELECOMUNICACOES EIRELI | 254 | LACNIC | BR | https://www.peeringdb.com/asn/269096
141 | 23106 | AMERICAN TOWER DO BRASIL-COMUNICACAO MULTIMIDIA LT | 227 | LACNIC | BR | https://www.peeringdb.com/asn/23106
138 | 19551 | INCAPSULA | 283 | ARIN | US | https://www.peeringdb.com/asn/19551
128 | 22381 | Megatelecom Telecomunicacoes Ltda | 109 | LACNIC | BR | https://www.peeringdb.com/asn/22381
126 | 22356 | Durand do Brasil Ltda | 19 | LACNIC | BR | https://www.peeringdb.com/asn/22356
122 | 53115 | ISPX Solucoes em Telecomunicacoes SPE Ltda | 541 | LACNIC | BR | https://www.peeringdb.com/asn/53115
121 | 7162 | Universo Online S.A. | 269 | LACNIC | BR | https://www.peeringdb.com/asn/7162
120 | 264984 | CLICKIP PROVEDORES DE ACESSO LTDA | 1538 | LACNIC | BR | https://www.peeringdb.com/asn/264984
113 | 263903 | INFORBARRA TELECOM | 246 | LACNIC | BR | https://www.peeringdb.com/asn/263903
106 | 11802 | Centro de Informatica e Automacao do Estado de SC | 8690 | LACNIC | BR | https://www.peeringdb.com/asn/11802
88 | 52872 | VOANET Telecomunicacoes Ltda. | 364 | LACNIC | BR | https://www.peeringdb.com/asn/52872
80 | 1916 | Rede Nacional de Ensino e Pesquisa | 503 | LACNIC | BR | https://www.peeringdb.com/asn/1916
80 | 263444 | Open X Tecnologia Ltda | 142 | LACNIC | BR | https://www.peeringdb.com/asn/263444
77 | 28624 | PROVEDORA CMA INTERNET LTDA | 1944 | LACNIC | BR | https://www.peeringdb.com/asn/28624
77 | 262287 | Latitude.sh LTDA | 806 | LACNIC | BR | https://www.peeringdb.com/asn/262287
77 | 264329 | ESTRATEGIA REDES DE TELECOMUNICACOES LTDA | 962 | LACNIC | BR | https://www.peeringdb.com/asn/264329
76 | 265269 | MEGA TELE INFORMATICA | 334 | LACNIC | BR | https://www.peeringdb.com/asn/265269
74 | 271042 | BOT INTERNET E SERVICOS DE TELECOMUNICACOES LTDA | 1652 | LACNIC | BR | https://www.peeringdb.com/asn/271042
73 | 265061 | MIRIANE ARAUJO LIMA DE OLIVEIRA - ME | 1191 | LACNIC | BR | https://www.peeringdb.com/asn/265061
72 | 53181 | K2 Telecom e Multimidia LTDA ME | 216 | LACNIC | BR | https://www.peeringdb.com/asn/53181
72 | 262999 | IVI TECNOLOGIA E COMUNICACAO LTDA | 767 | LACNIC | BR | https://www.peeringdb.com/asn/262999
71 | 28220 | Alares Cabo Servicos de Telecomunicacoes S.A. | 452 | LACNIC | BR | https://www.peeringdb.com/asn/28220
71 | 52873 | Softdados Telecomunicacoes | 232 | LACNIC | BR | https://www.peeringdb.com/asn/52873
70 | 28146 | MHNET TELECOM | 244 | LACNIC | BR | https://www.peeringdb.com/asn/28146
69 | 52984 | CS-NET Informatica e Tecnologia Ltda. | 22680 | LACNIC | BR | https://www.peeringdb.com/asn/52984
68 | 6057 | Administracion Nacional de Telecomunicaciones | 169 | LACNIC | UY | https://www.peeringdb.com/asn/6057
68 | 28368 | SOBRALNET SERVICOS E TELECOMUNICACOES LTDA - ME | 208 | LACNIC | BR | https://www.peeringdb.com/asn/28368
67 | 263880 | WANTEL TECNOLOGIA LTDA. EPP | 856 | LACNIC | BR | https://www.peeringdb.com/asn/263880
65 | 52925 | Ascenty Data Centers e Telecomunicacoes SA | 257 | LACNIC | BR | https://www.peeringdb.com/asn/52925
65 | 267121 | ATPlus Telecom | 2675 | LACNIC | BR | https://www.peeringdb.com/asn/267121
64 | 267460 | -Reserved AS- | 5604 |  |  | https://www.peeringdb.com/asn/267460
62 | 53047 | Intercol Servicos de Internet Ltda | 6585 | LACNIC | BR | https://www.peeringdb.com/asn/53047
62 | 268624 | Gamers Club Ltda | 813 | LACNIC | BR | https://www.peeringdb.com/asn/268624
